"ano_mes","sigla_instituicao_lotacao","desc_instituicao_lotacao","quantidade_servidores"
"202112","AGE","ADVOCACIA GERAL DO ESTADO","827"
"202112","ARSAE MG","ARSAE MG","41"
"202112","CGE","CONTROLADORIA GERAL DO ESTADO","164"
"202112","DER-MG","DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM","7224"
"202112","DP","DEFENSORIA PUBLICA","2"
"202112","ESP-MG","ESCOLA DE SAUDE","80"
"202112","FAOP","FAOP FUNDACAO ARTE OURO PRETO","41"
"202112","FAPEMIG","FUNDACAO DE AMPARO A PESQUISA","73"
"202112","FCS","FUNDACAO CLOVIS SALGADO","323"
"202112","FEAM","FEAM FUNDACAO DO MEIO AMBIENTE","242"
"202112","FHA","FUNDACAO HELENA ANTIPOFF","223"
"202112","FHEMIG","FHEMIG FUND HOSPITALAR EST MG","13201"
"202112","FJP","FUNDACAO JOAO PINHEIRO","418"
"202112","FUCAM","FUCAM FUND EDUC CAIO MARTINS","97"
"202112","FUNED","FUNED FUNDACAO EZEQUIEL DIAS","953"
"202112","GABINETE MILITAR","GABINETE MILITAR","37"
"202112","HEMOMINAS","FUNDACAO HEMOMINAS","949"
"202112","IDENE","IDENE INST DES NORTE NORD MG","87"
"202112","IEF","IEF INST EST DE FLORESTAS","978"
"202112","IEPHA","IEPHA INST PATRIM HISTORICO","108"
"202112","IGAM","IGAM INST DE GESTAO DAS AGUAS","173"
"202112","IMA","IMA INST MINEIRO AGROPECUARIA","1729"
"202112","IPEM","INSTITUTO DE METROLOGIA E QUALIDADE","294"
"202112","IPSEMG","IPSEMG INSTITUTO PREVIDENCIA","5801"
"202112","IPSM","IPSM","221"
"202112","JUCEMG","JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS","264"
"202112","LOTERIA","LOTERIA DO ESTADO DE MG","69"
"202112","NAO INFORMADO","INSTITUICAO C/ CODIGO DE UNIDADE NAO INFORMADO","148384"
"202112","OGE","OUVIDORIA GERAL","46"
"202112","POL/CIVIL","POLICIA CIVIL","18445"
"202112","SEAPA","SECRETARIA DA AGRICULTURA","489"
"202112","SECIR","SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL","31"
"202112","SECOM","SECRETARIA DE COMUNICACAO SOCIAL","4"
