"ano_mes","sigla_instituicao_lotacao","desc_instituicao_lotacao","quantidade_servidores"
"202112","SECULT","SECRETARIA CULTURA E TURISMO","533"
"202112","SEDE","SECRETARIA DE DESENVOLVIMENTO ECONOMICO","156"
"202112","SEDESE","SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL","1268"
"202112","SEE","SECRETARIA DE EDUCACAO","274128"
"202112","SEF","SECRETARIA DA FAZENDA","7143"
"202112","SEGOV","SECRETARIA DE GOVERNO","343"
"202112","SEINFRA","SECRETARIA DE INFRAESTRUTURA E MOBILIDADE","190"
"202112","SEJUSP","SECRETARIA DE JUSTICA E SEGURANCA PUBLICA","18517"
"202112","SEMAD","SECRETARIA DO MEIO AMBIENTE","623"
"202112","SEPLAG","SEC DE PLANEJAMENTO E GESTAO","2277"
"202112","SES","SECRETARIA DE SAUDE","12023"
"202112","SETUR","SECRETARIA DE ESTADO DE TURISMO","22"
"202112","SG","SECRETARIA GERAL","5"
"202112","TV MINAS","FUNDACAO TV MINAS","38"
"202112","UEMG","UEMG UNIV EST DE MINAS GERAIS","1386"
"202112","UNIMONTES","UNIMONTES UNIV MONTES CLAROS","2312"
"202112","UTRAMIG","UTRAMIG FUND EDUC PARA O TRAB","45"
"202112",NULL,NULL,"2571"
"202201","AGE","ADVOCACIA GERAL DO ESTADO","825"
"202201","ARSAE MG","ARSAE MG","41"
"202201","CGE","CONTROLADORIA GERAL DO ESTADO","164"
"202201","DER-MG","DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM","7193"
"202201","DP","DEFENSORIA PUBLICA","2"
"202201","ESP-MG","ESCOLA DE SAUDE","80"
"202201","FAOP","FAOP FUNDACAO ARTE OURO PRETO","41"
"202201","FAPEMIG","FUNDACAO DE AMPARO A PESQUISA","73"
"202201","FCS","FUNDACAO CLOVIS SALGADO","322"
"202201","FEAM","FEAM FUNDACAO DO MEIO AMBIENTE","240"
"202201","FHA","FUNDACAO HELENA ANTIPOFF","223"
"202201","FHEMIG","FHEMIG FUND HOSPITALAR EST MG","13178"
"202201","FJP","FUNDACAO JOAO PINHEIRO","418"
"202201","FUCAM","FUCAM FUND EDUC CAIO MARTINS","97"
"202201","FUNED","FUNED FUNDACAO EZEQUIEL DIAS","953"
"202201","GABINETE MILITAR","GABINETE MILITAR","37"
"202201","HEMOMINAS","FUNDACAO HEMOMINAS","948"
"202201","IDENE","IDENE INST DES NORTE NORD MG","87"
"202201","IEF","IEF INST EST DE FLORESTAS","976"
"202201","IEPHA","IEPHA INST PATRIM HISTORICO","108"
"202201","IGAM","IGAM INST DE GESTAO DAS AGUAS","173"
"202201","IMA","IMA INST MINEIRO AGROPECUARIA","1729"
"202201","IPEM","INSTITUTO DE METROLOGIA E QUALIDADE","294"
"202201","IPSEMG","IPSEMG INSTITUTO PREVIDENCIA","5792"
"202201","IPSM","IPSM","221"
"202201","JUCEMG","JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS","264"
"202201","LOTERIA","LOTERIA DO ESTADO DE MG","69"
"202201","NAO INFORMADO","INSTITUICAO C/ CODIGO DE UNIDADE NAO INFORMADO","56751"
"202201","OGE","OUVIDORIA GERAL","46"
"202201","POL/CIVIL","POLICIA CIVIL","18425"
"202201","SEAPA","SECRETARIA DA AGRICULTURA","488"
"202201","SECIR","SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL","31"
"202201","SECOM","SECRETARIA DE COMUNICACAO SOCIAL","4"
"202201","SECULT","SECRETARIA CULTURA E TURISMO","531"
"202201","SEDE","SECRETARIA DE DESENVOLVIMENTO ECONOMICO","156"
"202201","SEDESE","SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL","1268"
"202201","SEE","SECRETARIA DE EDUCACAO","273989"
"202201","SEF","SECRETARIA DA FAZENDA","7126"
"202201","SEGOV","SECRETARIA DE GOVERNO","342"
"202201","SEINFRA","SECRETARIA DE INFRAESTRUTURA E MOBILIDADE","189"
"202201","SEJUSP","SECRETARIA DE JUSTICA E SEGURANCA PUBLICA","18505"
"202201","SEMAD","SECRETARIA DO MEIO AMBIENTE","623"
"202201","SEPLAG","SEC DE PLANEJAMENTO E GESTAO","2277"
"202201","SES","SECRETARIA DE SAUDE","11997"
"202201","SETUR","SECRETARIA DE ESTADO DE TURISMO","22"
"202201","SG","SECRETARIA GERAL","5"
"202201","TV MINAS","FUNDACAO TV MINAS","38"
"202201","UEMG","UEMG UNIV EST DE MINAS GERAIS","1389"
"202201","UNIMONTES","UNIMONTES UNIV MONTES CLAROS","2312"
"202201","UTRAMIG","UTRAMIG FUND EDUC PARA O TRAB","45"
"202201",NULL,NULL,"2562"
"202202","AGE","ADVOCACIA GERAL DO ESTADO","823"
"202202","ARSAE MG","ARSAE MG","41"
"202202","CGE","CONTROLADORIA GERAL DO ESTADO","164"
"202202","DER-MG","DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM","7148"
"202202","DP","DEFENSORIA PUBLICA","2"
"202202","ESP-MG","ESCOLA DE SAUDE","80"
"202202","FAOP","FAOP FUNDACAO ARTE OURO PRETO","41"
"202202","FAPEMIG","FUNDACAO DE AMPARO A PESQUISA","73"
"202202","FCS","FUNDACAO CLOVIS SALGADO","322"
"202202","FEAM","FEAM FUNDACAO DO MEIO AMBIENTE","241"
"202202","FHA","FUNDACAO HELENA ANTIPOFF","222"
"202202","FHEMIG","FHEMIG FUND HOSPITALAR EST MG","13165"
"202202","FJP","FUNDACAO JOAO PINHEIRO","416"
"202202","FUCAM","FUCAM FUND EDUC CAIO MARTINS","97"
"202202","FUNED","FUNED FUNDACAO EZEQUIEL DIAS","953"
"202202","GABINETE MILITAR","GABINETE MILITAR","37"
"202202","HEMOMINAS","FUNDACAO HEMOMINAS","946"
"202202","IDENE","IDENE INST DES NORTE NORD MG","87"
"202202","IEF","IEF INST EST DE FLORESTAS","975"
"202202","IEPHA","IEPHA INST PATRIM HISTORICO","108"
"202202","IGAM","IGAM INST DE GESTAO DAS AGUAS","173"
"202202","IMA","IMA INST MINEIRO AGROPECUARIA","1728"
"202202","IPEM","INSTITUTO DE METROLOGIA E QUALIDADE","294"
"202202","IPSEMG","IPSEMG INSTITUTO PREVIDENCIA","5785"
"202202","IPSM","IPSM","221"
"202202","JUCEMG","JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS","264"
"202202","LOTERIA","LOTERIA DO ESTADO DE MG","69"
"202202","NAO INFORMADO","INSTITUICAO C/ CODIGO DE UNIDADE NAO INFORMADO","123131"
"202202","OGE","OUVIDORIA GERAL","45"
"202202","POL/CIVIL","POLICIA CIVIL","18397"
"202202","SEAPA","SECRETARIA DA AGRICULTURA","485"
"202202","SECIR","SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL","31"
"202202","SECOM","SECRETARIA DE COMUNICACAO SOCIAL","4"
"202202","SECULT","SECRETARIA CULTURA E TURISMO","530"
"202202","SEDE","SECRETARIA DE DESENVOLVIMENTO ECONOMICO","155"
"202202","SEDESE","SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL","1265"
"202202","SEE","SECRETARIA DE EDUCACAO","274261"
"202202","SEF","SECRETARIA DA FAZENDA","7106"
"202202","SEGOV","SECRETARIA DE GOVERNO","341"
"202202","SEINFRA","SECRETARIA DE INFRAESTRUTURA E MOBILIDADE","189"
"202202","SEJUSP","SECRETARIA DE JUSTICA E SEGURANCA PUBLICA","18499"
"202202","SEMAD","SECRETARIA DO MEIO AMBIENTE","622"
"202202","SEPLAG","SEC DE PLANEJAMENTO E GESTAO","2274"
"202202","SES","SECRETARIA DE SAUDE","11983"
"202202","SETUR","SECRETARIA DE ESTADO DE TURISMO","22"
"202202","SG","SECRETARIA GERAL","5"
"202202","TV MINAS","FUNDACAO TV MINAS","38"
"202202","UEMG","UEMG UNIV EST DE MINAS GERAIS","1390"
"202202","UNIMONTES","UNIMONTES UNIV MONTES CLAROS","2307"
"202202","UTRAMIG","UTRAMIG FUND EDUC PARA O TRAB","45"
"202202",NULL,NULL,"2555"
"202203","AGE","ADVOCACIA GERAL DO ESTADO","822"
"202203","ARSAE MG","ARSAE MG","41"
"202203","CGE","CONTROLADORIA GERAL DO ESTADO","164"
"202203","DER-MG","DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM","7112"
"202203","DP","DEFENSORIA PUBLICA","2"
"202203","ESP-MG","ESCOLA DE SAUDE","80"
"202203","FAOP","FAOP FUNDACAO ARTE OURO PRETO","41"
"202203","FAPEMIG","FUNDACAO DE AMPARO A PESQUISA","73"
"202203","FCS","FUNDACAO CLOVIS SALGADO","322"
"202203","FEAM","FEAM FUNDACAO DO MEIO AMBIENTE","240"
"202203","FHA","FUNDACAO HELENA ANTIPOFF","219"
"202203","FHEMIG","FHEMIG FUND HOSPITALAR EST MG","13154"
"202203","FJP","FUNDACAO JOAO PINHEIRO","416"
"202203","FUCAM","FUCAM FUND EDUC CAIO MARTINS","97"
"202203","FUNED","FUNED FUNDACAO EZEQUIEL DIAS","954"
"202203","GABINETE MILITAR","GABINETE MILITAR","37"
"202203","HEMOMINAS","FUNDACAO HEMOMINAS","947"
"202203","IDENE","IDENE INST DES NORTE NORD MG","87"
"202203","IEF","IEF INST EST DE FLORESTAS","973"
"202203","IEPHA","IEPHA INST PATRIM HISTORICO","107"
"202203","IGAM","IGAM INST DE GESTAO DAS AGUAS","173"
"202203","IMA","IMA INST MINEIRO AGROPECUARIA","1727"
"202203","IPEM","INSTITUTO DE METROLOGIA E QUALIDADE","293"
"202203","IPSEMG","IPSEMG INSTITUTO PREVIDENCIA","5771"
"202203","IPSM","IPSM","221"
"202203","JUCEMG","JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS","264"
"202203","LOTERIA","LOTERIA DO ESTADO DE MG","69"
"202203","NAO INFORMADO","INSTITUICAO C/ CODIGO DE UNIDADE NAO INFORMADO","143834"
"202203","OGE","OUVIDORIA GERAL","45"
"202203","POL/CIVIL","POLICIA CIVIL","18369"
"202203","SEAPA","SECRETARIA DA AGRICULTURA","483"
"202203","SECIR","SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL","31"
"202203","SECOM","SECRETARIA DE COMUNICACAO SOCIAL","4"
"202203","SECULT","SECRETARIA CULTURA E TURISMO","527"
"202203","SEDE","SECRETARIA DE DESENVOLVIMENTO ECONOMICO","155"
"202203","SEDESE","SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL","1264"
"202203","SEE","SECRETARIA DE EDUCACAO","273806"
"202203","SEF","SECRETARIA DA FAZENDA","7088"
"202203","SEGOV","SECRETARIA DE GOVERNO","341"
"202203","SEINFRA","SECRETARIA DE INFRAESTRUTURA E MOBILIDADE","189"
"202203","SEJUSP","SECRETARIA DE JUSTICA E SEGURANCA PUBLICA","18570"
"202203","SEMAD","SECRETARIA DO MEIO AMBIENTE","622"
"202203","SEPLAG","SEC DE PLANEJAMENTO E GESTAO","2272"
"202203","SES","SECRETARIA DE SAUDE","11946"
"202203","SETUR","SECRETARIA DE ESTADO DE TURISMO","22"
"202203","SG","SECRETARIA GERAL","5"
"202203","TV MINAS","FUNDACAO TV MINAS","38"
"202203","UEMG","UEMG UNIV EST DE MINAS GERAIS","1390"
"202203","UNIMONTES","UNIMONTES UNIV MONTES CLAROS","2305"
"202203","UTRAMIG","UTRAMIG FUND EDUC PARA O TRAB","45"
"202203",NULL,NULL,"2538"
"202204","AGE","ADVOCACIA GERAL DO ESTADO","821"
"202204","ARSAE MG","ARSAE MG","41"
"202204","CGE","CONTROLADORIA GERAL DO ESTADO","164"
"202204","DER-MG","DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM","7102"
"202204","DP","DEFENSORIA PUBLICA","2"
"202204","ESP-MG","ESCOLA DE SAUDE","80"
"202204","FAOP","FAOP FUNDACAO ARTE OURO PRETO","41"
"202204","FAPEMIG","FUNDACAO DE AMPARO A PESQUISA","73"
"202204","FCS","FUNDACAO CLOVIS SALGADO","321"
"202204","FEAM","FEAM FUNDACAO DO MEIO AMBIENTE","241"
"202204","FHA","FUNDACAO HELENA ANTIPOFF","219"
"202204","FHEMIG","FHEMIG FUND HOSPITALAR EST MG","13132"
"202204","FJP","FUNDACAO JOAO PINHEIRO","416"
"202204","FUCAM","FUCAM FUND EDUC CAIO MARTINS","96"
"202204","FUNED","FUNED FUNDACAO EZEQUIEL DIAS","947"
"202204","GABINETE MILITAR","GABINETE MILITAR","37"
"202204","HEMOMINAS","FUNDACAO HEMOMINAS","943"
"202204","IDENE","IDENE INST DES NORTE NORD MG","87"
"202204","IEF","IEF INST EST DE FLORESTAS","971"
"202204","IEPHA","IEPHA INST PATRIM HISTORICO","106"
"202204","IGAM","IGAM INST DE GESTAO DAS AGUAS","172"
"202204","IMA","IMA INST MINEIRO AGROPECUARIA","1726"
"202204","IPEM","INSTITUTO DE METROLOGIA E QUALIDADE","292"
"202204","IPSEMG","IPSEMG INSTITUTO PREVIDENCIA","5765"
"202204","IPSM","IPSM","221"
"202204","JUCEMG","JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS","263"
"202204","LOTERIA","LOTERIA DO ESTADO DE MG","68"
"202204","NAO INFORMADO","INSTITUICAO C/ CODIGO DE UNIDADE NAO INFORMADO","149835"
"202204","OGE","OUVIDORIA GERAL","45"
"202204","POL/CIVIL","POLICIA CIVIL","18348"
"202204","SEAPA","SECRETARIA DA AGRICULTURA","482"
"202204","SECIR","SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL","31"
"202204","SECOM","SECRETARIA DE COMUNICACAO SOCIAL","4"
"202204","SECULT","SECRETARIA CULTURA E TURISMO","527"
"202204","SEDE","SECRETARIA DE DESENVOLVIMENTO ECONOMICO","154"
"202204","SEDESE","SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL","1263"
"202204","SEE","SECRETARIA DE EDUCACAO","273531"
"202204","SEF","SECRETARIA DA FAZENDA","7082"
"202204","SEGOV","SECRETARIA DE GOVERNO","340"
"202204","SEINFRA","SECRETARIA DE INFRAESTRUTURA E MOBILIDADE","189"
"202204","SEJUSP","SECRETARIA DE JUSTICA E SEGURANCA PUBLICA","18598"
"202204","SEMAD","SECRETARIA DO MEIO AMBIENTE","621"
"202204","SEPLAG","SEC DE PLANEJAMENTO E GESTAO","2267"
"202204","SES","SECRETARIA DE SAUDE","11927"
"202204","SETUR","SECRETARIA DE ESTADO DE TURISMO","22"
"202204","SG","SECRETARIA GERAL","5"
"202204","TV MINAS","FUNDACAO TV MINAS","38"
"202204","UEMG","UEMG UNIV EST DE MINAS GERAIS","1386"
"202204","UNIMONTES","UNIMONTES UNIV MONTES CLAROS","2301"
"202204","UTRAMIG","UTRAMIG FUND EDUC PARA O TRAB","45"
"202204",NULL,NULL,"2521"
"202205","AGE","ADVOCACIA GERAL DO ESTADO","820"
"202205","ARSAE MG","ARSAE MG","41"
"202205","CGE","CONTROLADORIA GERAL DO ESTADO","164"
"202205","DER-MG","DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM","7079"
"202205","DP","DEFENSORIA PUBLICA","2"
"202205","ESP-MG","ESCOLA DE SAUDE","80"
"202205","FAOP","FAOP FUNDACAO ARTE OURO PRETO","41"
"202205","FAPEMIG","FUNDACAO DE AMPARO A PESQUISA","73"
"202205","FCS","FUNDACAO CLOVIS SALGADO","321"
"202205","FEAM","FEAM FUNDACAO DO MEIO AMBIENTE","241"
"202205","FHA","FUNDACAO HELENA ANTIPOFF","219"
"202205","FHEMIG","FHEMIG FUND HOSPITALAR EST MG","13117"
"202205","FJP","FUNDACAO JOAO PINHEIRO","415"
"202205","FUCAM","FUCAM FUND EDUC CAIO MARTINS","96"
"202205","FUNED","FUNED FUNDACAO EZEQUIEL DIAS","948"
"202205","GABINETE MILITAR","GABINETE MILITAR","37"
"202205","HEMOMINAS","FUNDACAO HEMOMINAS","943"
"202205","IDENE","IDENE INST DES NORTE NORD MG","87"
"202205","IEF","IEF INST EST DE FLORESTAS","971"
"202205","IEPHA","IEPHA INST PATRIM HISTORICO","106"
"202205","IGAM","IGAM INST DE GESTAO DAS AGUAS","172"
"202205","IMA","IMA INST MINEIRO AGROPECUARIA","1724"
"202205","IPEM","INSTITUTO DE METROLOGIA E QUALIDADE","292"
"202205","IPSEMG","IPSEMG INSTITUTO PREVIDENCIA","5755"
"202205","IPSM","IPSM","221"
"202205","JUCEMG","JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS","263"
"202205","LOTERIA","LOTERIA DO ESTADO DE MG","67"
"202205","NAO INFORMADO","INSTITUICAO C/ CODIGO DE UNIDADE NAO INFORMADO","155434"
"202205","OGE","OUVIDORIA GERAL","45"
"202205","POL/CIVIL","POLICIA CIVIL","18321"
"202205","SEAPA","SECRETARIA DA AGRICULTURA","482"
"202205","SECIR","SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL","31"
"202205","SECOM","SECRETARIA DE COMUNICACAO SOCIAL","4"
"202205","SECULT","SECRETARIA CULTURA E TURISMO","527"
"202205","SEDE","SECRETARIA DE DESENVOLVIMENTO ECONOMICO","154"
"202205","SEDESE","SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL","1260"
"202205","SEE","SECRETARIA DE EDUCACAO","273187"
"202205","SEF","SECRETARIA DA FAZENDA","7071"
"202205","SEGOV","SECRETARIA DE GOVERNO","339"
"202205","SEINFRA","SECRETARIA DE INFRAESTRUTURA E MOBILIDADE","189"
"202205","SEJUSP","SECRETARIA DE JUSTICA E SEGURANCA PUBLICA","18595"
"202205","SEMAD","SECRETARIA DO MEIO AMBIENTE","621"
"202205","SEPLAG","SEC DE PLANEJAMENTO E GESTAO","2262"
"202205","SES","SECRETARIA DE SAUDE","11906"
"202205","SETUR","SECRETARIA DE ESTADO DE TURISMO","22"
"202205","SG","SECRETARIA GERAL","5"
"202205","TV MINAS","FUNDACAO TV MINAS","38"
"202205","UEMG","UEMG UNIV EST DE MINAS GERAIS","1385"
"202205","UNIMONTES","UNIMONTES UNIV MONTES CLAROS","2300"
"202205","UTRAMIG","UTRAMIG FUND EDUC PARA O TRAB","45"
"202205",NULL,NULL,"2510"
"202206","AGE","ADVOCACIA GERAL DO ESTADO","820"
"202206","ARSAE MG","ARSAE MG","41"
"202206","CGE","CONTROLADORIA GERAL DO ESTADO","164"
"202206","DER-MG","DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM","7054"
"202206","DP","DEFENSORIA PUBLICA","2"
"202206","ESP-MG","ESCOLA DE SAUDE","80"
"202206","FAOP","FAOP FUNDACAO ARTE OURO PRETO","41"
"202206","FAPEMIG","FUNDACAO DE AMPARO A PESQUISA","72"
"202206","FCS","FUNDACAO CLOVIS SALGADO","319"
"202206","FEAM","FEAM FUNDACAO DO MEIO AMBIENTE","241"
"202206","FHA","FUNDACAO HELENA ANTIPOFF","219"
"202206","FHEMIG","FHEMIG FUND HOSPITALAR EST MG","13101"
"202206","FJP","FUNDACAO JOAO PINHEIRO","413"
"202206","FUCAM","FUCAM FUND EDUC CAIO MARTINS","94"
"202206","FUNED","FUNED FUNDACAO EZEQUIEL DIAS","947"
"202206","GABINETE MILITAR","GABINETE MILITAR","37"
"202206","HEMOMINAS","FUNDACAO HEMOMINAS","941"
"202206","IDENE","IDENE INST DES NORTE NORD MG","86"
"202206","IEF","IEF INST EST DE FLORESTAS","968"
"202206","IEPHA","IEPHA INST PATRIM HISTORICO","106"
"202206","IGAM","IGAM INST DE GESTAO DAS AGUAS","172"
"202206","IMA","IMA INST MINEIRO AGROPECUARIA","1722"
"202206","IPEM","INSTITUTO DE METROLOGIA E QUALIDADE","290"
"202206","IPSEMG","IPSEMG INSTITUTO PREVIDENCIA","5735"
"202206","IPSM","IPSM","220"
"202206","JUCEMG","JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS","263"
"202206","LOTERIA","LOTERIA DO ESTADO DE MG","67"
"202206","NAO INFORMADO","INSTITUICAO C/ CODIGO DE UNIDADE NAO INFORMADO","158310"
"202206","OGE","OUVIDORIA GERAL","44"
"202206","POL/CIVIL","POLICIA CIVIL","18283"
"202206","SEAPA","SECRETARIA DA AGRICULTURA","478"
"202206","SECIR","SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL","31"
"202206","SECOM","SECRETARIA DE COMUNICACAO SOCIAL","4"
"202206","SECULT","SECRETARIA CULTURA E TURISMO","527"
"202206","SEDE","SECRETARIA DE DESENVOLVIMENTO ECONOMICO","153"
"202206","SEDESE","SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL","1251"
"202206","SEE","SECRETARIA DE EDUCACAO","272702"
"202206","SEF","SECRETARIA DA FAZENDA","7052"
"202206","SEGOV","SECRETARIA DE GOVERNO","339"
"202206","SEINFRA","SECRETARIA DE INFRAESTRUTURA E MOBILIDADE","189"
"202206","SEJUSP","SECRETARIA DE JUSTICA E SEGURANCA PUBLICA","18561"
"202206","SEMAD","SECRETARIA DO MEIO AMBIENTE","621"
"202206","SEPLAG","SEC DE PLANEJAMENTO E GESTAO","2260"
"202206","SES","SECRETARIA DE SAUDE","11876"
"202206","SETUR","SECRETARIA DE ESTADO DE TURISMO","22"
"202206","SG","SECRETARIA GERAL","5"
"202206","TV MINAS","FUNDACAO TV MINAS","38"
"202206","UEMG","UEMG UNIV EST DE MINAS GERAIS","1384"
"202206","UNIMONTES","UNIMONTES UNIV MONTES CLAROS","2300"
"202206","UTRAMIG","UTRAMIG FUND EDUC PARA O TRAB","45"
"202206",NULL,NULL,"2484"
"202207","AGE","ADVOCACIA GERAL DO ESTADO","820"
"202207","ARSAE MG","ARSAE MG","40"
"202207","CGE","CONTROLADORIA GERAL DO ESTADO","164"
"202207","DER-MG","DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM","7032"
"202207","DP","DEFENSORIA PUBLICA","2"
"202207","ESP-MG","ESCOLA DE SAUDE","80"
"202207","FAOP","FAOP FUNDACAO ARTE OURO PRETO","41"
"202207","FAPEMIG","FUNDACAO DE AMPARO A PESQUISA","72"
"202207","FCS","FUNDACAO CLOVIS SALGADO","318"
"202207","FEAM","FEAM FUNDACAO DO MEIO AMBIENTE","241"
"202207","FHA","FUNDACAO HELENA ANTIPOFF","219"
"202207","FHEMIG","FHEMIG FUND HOSPITALAR EST MG","13090"
"202207","FJP","FUNDACAO JOAO PINHEIRO","411"
"202207","FUCAM","FUCAM FUND EDUC CAIO MARTINS","93"
"202207","FUNED","FUNED FUNDACAO EZEQUIEL DIAS","947"
"202207","GABINETE MILITAR","GABINETE MILITAR","37"
"202207","HEMOMINAS","FUNDACAO HEMOMINAS","941"
"202207","IDENE","IDENE INST DES NORTE NORD MG","86"
"202207","IEF","IEF INST EST DE FLORESTAS","967"
"202207","IEPHA","IEPHA INST PATRIM HISTORICO","106"
"202207","IGAM","IGAM INST DE GESTAO DAS AGUAS","172"
"202207","IMA","IMA INST MINEIRO AGROPECUARIA","1720"
"202207","IPEM","INSTITUTO DE METROLOGIA E QUALIDADE","289"
"202207","IPSEMG","IPSEMG INSTITUTO PREVIDENCIA","5721"
"202207","IPSM","IPSM","220"
"202207","JUCEMG","JUNTA COMERCIAL DO ESTADO DE MINAS GERAIS","263"
"202207","LOTERIA","LOTERIA DO ESTADO DE MG","67"
"202207","NAO INFORMADO","INSTITUICAO C/ CODIGO DE UNIDADE NAO INFORMADO","161610"
"202207","OGE","OUVIDORIA GERAL","44"
"202207","POL/CIVIL","POLICIA CIVIL","18256"
"202207","SEAPA","SECRETARIA DA AGRICULTURA","476"
"202207","SECIR","SECRETARIA DE ESTADO DE CIDADES E DE INTEGRACAO REGIONAL","31"
"202207","SECOM","SECRETARIA DE COMUNICACAO SOCIAL","4"
"202207","SECULT","SECRETARIA CULTURA E TURISMO","526"
"202207","SEDE","SECRETARIA DE DESENVOLVIMENTO ECONOMICO","153"
"202207","SEDESE","SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL","1250"
"202207","SEE","SECRETARIA DE EDUCACAO","272497"
"202207","SEF","SECRETARIA DA FAZENDA","7039"
"202207","SEGOV","SECRETARIA DE GOVERNO","340"
"202207","SEINFRA","SECRETARIA DE INFRAESTRUTURA E MOBILIDADE","188"
"202207","SEJUSP","SECRETARIA DE JUSTICA E SEGURANCA PUBLICA","18558"
"202207","SEMAD","SECRETARIA DO MEIO AMBIENTE","621"
"202207","SEPLAG","SEC DE PLANEJAMENTO E GESTAO","2296"
"202207","SES","SECRETARIA DE SAUDE","11849"
"202207","SETUR","SECRETARIA DE ESTADO DE TURISMO","22"
"202207","SG","SECRETARIA GERAL","5"
"202207","TV MINAS","FUNDACAO TV MINAS","38"
"202207","UEMG","UEMG UNIV EST DE MINAS GERAIS","1382"
"202207","UNIMONTES","UNIMONTES UNIV MONTES CLAROS","2296"
"202207","UTRAMIG","UTRAMIG FUND EDUC PARA O TRAB","45"
"202207",NULL,NULL,"2477"
"202208","AGE","ADVOCACIA GERAL DO ESTADO","820"
"202208","ARSAE MG","ARSAE MG","40"
"202208","CGE","CONTROLADORIA GERAL DO ESTADO","164"
"202208","DER-MG","DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM","7005"
"202208","DP","DEFENSORIA PUBLICA","2"
"202208","ESP-MG","ESCOLA DE SAUDE","79"
